given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
rosa,prar,40,nicholson crescent,vill 32,mountf evelyn,2200,nsw,19080409,8467968,88643
beau,tongyode,195,dingo flats,tourist park,gray,3620,vic,19071010,8299710,41844
karla,rump,39,hilder street,killarney,normanhurst,3219,wa,19010414,4005188,21599
zachary,owerko,4,bendigo street,maroubra beach,maclean,2756,vic,19470101,4914201,26114
parr,rosa,40,nicholson crescent,villa 32,mount evelyn,2200,nsw,19080409,8467968,51211
shelbey,matthews,48,learmonth drive,dolphin arcade,sanctuary point,2289,nsw,19440419,3598907,19909
lucsa,ryan,71,walker crescent,brackengrae,belrose,5024,vic,19840323,6371124,96973
tyler,morrison,22,captain cook crescent,warraberry,rowville,6056,qld,19840630,1518425,27714
jassim,pasaricek,20,carron street,posetto,yunta,2210,sa,19861109,8613365,92599
,kiss,21,pialligo avenue,caravn park,,2530,vic,19310218,3431125,65644
webb,xani,5,len water ss ctreet,willmont park,boweral,2615,wa,19911101,8286026,14304
jenna,rodaro,,livingston avenue,st franis room,mooroolbark,3977,qls,19830926,8979554,34871
aidan,blackcwell,2,crosshills,eddy crescent,white patch,2121,vic,19980911,5406026,65498
campbell,matthews,95,derrington crescent,the meajdows,centennial park,2073,nsw,19750315,3771528,1612
chloe,lovelock,52,healy street,wandary hill,springvale south,2528,act,19370419,8539701,41698
annabdlle,weetra,4,firbank close,fronda,riverhills,2025,sa,19490420,4285598,3355
luke,snelling,134,postle circuit,white lodge,penrith,2283,nsw,19310131,3695855,56513
joel,bishop,15,mcluckie crescent,allawah flats,branxton,2340,,19880214,5188002,62561
maddisvn,braithwaite,15,rosman circuit,,nhill,7237,nsw,19080131,9913172,27777
ella,cannell,18,mainwaring rich circuit,kincumber nautical vlge,asquith,4075,nsw,19570915,2076456,6287
kelsy,ketelaars,19,eldershaw place,brindabella specialist centre,burrum heads,7249,qld,19200423,9930712,61266
marcus,rei,290,geil s court,cambri vlge,narembjrn,6020,nsw,19400624,3592731,31190
liam,laing,7,theodore street,,padstow,6004,vic,19391123,4137134,42858
sonja,kleve,28,dallachy place,copely,keon park,4362,nsw,19880528,7042108,67571
george,blam,15,mcdonald street,burnside,mount eliza,6567,vic,19730806,3873535,34729
joel,ejlak,61,eppalock street,brentwood vlge,taigum,2644,nsw,19351102,1021508,48160
natalia,george,22,glenview,woollum street,morweul,6056,wa,19540306,7746839,47005
isabella,nguyen,16,wilshire street,erinsvale,rose bay,6207,vic,19760517,8693348,56066
meg,fauser,2,bimbiang crescent,garden creek,labrador,4034,qld,,3103165,73677
liersch,michael,29,hallstrom circuit,,northampton,4405,nsw,19360816,8185284,26811
danik a,alhabsji,2,ewing street,oak dale,toowoomba,2161,vic,19020325,2643761,42258
connor,rawlings,70,corin pace,oxford,kuraby,4216,qld,19330925,2464828,45835
bailey,dogg,,atherton street,golden lea,orange,6014,vic,19470823,3660677,9146
elton,waller,37,blacket street,,st kilda east,3221,wq,19920706,7876568,66255
joshua,leppard,4,murranji street,villa 19,erindale,6057,vic,19490620,2307117,96856
bradley,bishop,14,newman morris circuit,shiloah,wickepih,2711,wa,19420604,2961403,34202
demie,madigan,,fawkne street,evergreen,bunyip,6007,sa,19940729,5071854,91777
timothy,ebert,8,devonport street,mount patrick,somerset,6105,nsw,19450222,4573952,1606
emiily,bullock,57,ivo whitto n circuit,kacadoo,blackburn north,3746,nsw,19470901,2457694,84562
kyle,bizjak,60,ferrier place,yarrimbah,boyanup,3074,nsw,19701103,5773280,31750
zachary,owerko,4,bendigo ttreet,maroubra beach,maclean,2756,vic,19470101,4914201,38961
mackenzie,nicolle,16,snowden place,windsor lodge,greenhill,2152,nsw,19420118,2858815,68136
izaac,quill,10,lexcen avenue,lochenfels,redbank plains,2731,wa,19600320,9582347,10149
tahlia,vacchiani,67,newland street,tahmoor,blackbutt,2304,qld,19041007,5476244,44153
grossman,tara,1,denovan circuit,greigs flat,eastern heights,2560,qld,19500910,2324149,8977
williiam,dowley,15,terewah circuit,,poolaijelo,4108,sa,19230716,7001131,23311
olivia,felmingham,32,anglissp lace,cranbrook,annandale,2604,nsw,19860811,5148092,84761
jasmyn,seehusen,198,alfred hill drive,sun city resort,elwood,3496,vic,19440409,4444319,93336
joshua,villeiqrs,273,goyder street,loughmore,adelaide,2484,vic,19730628,9653869,15329
joshuaz,parr,36,,corcoran,bungwahl,2777,vic,19950525,7710315,79755
benjamin,akkermans,20,macedon crescent,,regentville,4507,sa,19940816,6687966,88993
dominic,flockhart,2,oxley street,clear creek,norhtgate,3000,wa,19890621,5173538,60536
seamus,nguyen,98,,chobe,yarraville,2107,wa,19960816,9574103,21985
zachary,clarke,2,port jackson circuit,masonic memorila village,minchinbury,4470,sa,19731003,4301419,55083
david,huddy,40,mina wylie crescent,,thornbury,3281,qld,19840327,3069553,46832
tyler,statton,4,paul coe crescent,belgrave arcade,kingston,3179,vic,19701224,9336789,47169
benjamin,brock,25,rossarden street,north road,mosman,3953,qld,19601113,6718212,80875
kirra,berry,199,davenport street,bryntirion,rylstone,4703,wa,19530221,1915716,7072
jade,zimmermann,33,nepean place,holloway haven,scarborough,4573,nsw,19351222,8890859,83244
lachlan,mcgregor,,,ocean star villas,eastwood,2615,nsw,19051211,2003775,90747
carlin,dabinet,8,holden ipace,park lane estate,southern river,2730,sa,19550806,9757461,28793
chloy,mcphie,5,robertson street,langleigh,swanwick,4262,qld,19340310,5324627,62928
oscar,ferris,1,shore place,leisure living vlge,hamilton,3128,nt,19080521,3835190,24953
stella,chandker,50,ebden street,rosetta village,harbord,6304,vic,19741215,8164610,87729
flynn,weller,23,woollum street,allu nga,surreyh ills,2870,qld,19700106,9438862,12778
melanie,bourras,74,inwood place,gorgecreek rchards,hoppers crossing,2203,nsw,19971016,9221934,43518
noah,campbell,9,pryor place,,montagu bay,4059,vic,19290211,5025398,55929
benjamin,weller,33,swanton street,morago,,7305,nsw,19540118,7771880,18319
de vmga,kayne,25,canna n crescent,glen rock,rivett,4020,vic,19581106,7272068,87642
morrison,grace,66,quinlivan crescent,greengrove,caulfield north,4120,vic,19460909,3999669,53885
joshua,beadle,19,williamson street,lignum,orange,3193,vic,19570308,1429771,51334
jemma,vincent,4,bangalay crescent,rivergum van park,wentworth falls,2572,sa,19480628,5700864,65295
kaela,webb,85,mehaffey crescent,palestine,surry hills,3194,nsw,,8660997,83953
anton,miles,45,de little c ircuit,hamilton park,cooroy,4202,vic,19100212,9909697,89139
caleb,challenor,1,wellingtfn street,kinrossfarm,cronulla,5109,vic,19600213,2694239,79256
isabella,clarke,59,gillespie street,flr 5 john flynnkmedical centre,mount victoria,2147,act,19950110,4409764,8006
ethan,callahan,298,meyrickplace,,tarragindi,3961,nsw,19901001,4525246,73161
imogen,doody,33,byrnes place,,kilsyth,2176,tas,19220807,7959638,29049
jack,artis,49,macfarland crescent,tulla burra,springfield,4019,vic,19810320,5959224,52058
liam,grubb,63,rowell place,argyle,kotara south,3002,qld,19660416,6643838,19308
madisoen,welller,11,coplanddrive,,birmingha m gardens,4350,wa,19341024,6281502,54845
jake,grosser,3,lexcen avenue,horseshoe bend,bomaderry,2161,vic,19670227,8695287,33435
riley,george,2,alice jackson crescent,jewells medical centre,athelstone,3912,,19901121,9927435,89303
lily,sideris,16,hallstrom circuit,joro be,surry hills,6012,nsw,19150910,9848730,38260
tristan,ca rp,222,marchant circuit,georgdeale,campbelltown,2193,nsw,19281204,1421166,15879
cameron,bishop,4,chillagoe street,edith hall,numeralla,6152,sa,19290325,8928429,49039
coleman,jack,312,andersom street,,north sydney,2486,nsw,19851226,3498401,37701
indyana,stagoll,13,stockdale street,norfolk park,morwell,4101,qld,19951122,3143553,60116
noah,gamlin,18,canning street,villa 183,mosman,7202,sa,19091023,6692641,27013
isabella,whitei,,monaro highway,jarara,beaumaris,2619,nsw,19521225,6048503,40355
drechsler,samantha,52,mara place,tower b rockdale,rochedale south,5495,nsw,19330422,8882745,40043
andrew,gilbertson,12,anembo street,apt 312 the rock wall,nedlands,4702,nsw,19460513,1862712,60159
riddell,kirra,27,rene wtreet,medical centre,burpengary,2747,qld,19140824,2031732,48834
holly,stoker,5,ballumbiw street,chetwyhd,kirrawee,6009,vic,19300121,8123371,20996
hugh,rusack,19,biddell place,kolora,carlingford,4744,nsw,19970623,7482555,72298
emalcene,ryan,26,lance hill avenue,cameroo,forest hill,3070,nsw,19720615,5185238,6171
sophie,butlock,6,boolee street,,port fairy,6076,sa,19361014,3859714,88732
domenique,paterson,15,merewether pu blic school,lubum aplace,greensborough,3138,qld,19160017,4957843,71300
alicia,webb,1215,fisken crescent,,hurlstone park,2144,qld,19990527,9846267,69880
connor,rawlings,70,corin place,oxford,kuraby,4216,qld,19330925,2464828,78481
davi d,huddy,1,mina wylie crescent,arthella,thornbury,3281,qld,19840327,3069553,91055
madeline,belling,14,jackie howe crescent,golambio cottage,picnic point,4053,nsw,19600218,8795054,30829
aleish,mcelwee,34,osburn drive,parraweena,condell park,5237,act,19440525,2532051,15094
samuel,ryan,512,hilder street,state bank arcade,davistown,2300,sa,19830613,5653742,15685
ethan,pringle,2,o'connell street,,urana,5108,qld,19510914,6472293,93422
mikaela,white,4,anzac park,villa 5,blair athol,4557,vic,19811017,4853274,64284
jacob,marampon,39,lowanna street,glenveagh,keysborough,3806,vic,19820914,7380723,55584
cooper,coxon,8,downard sstreet,homew ood,laaneocorie,3128,sa,19070923,5430172,79755
riley,lodge,22,chuculba c rescent,yarramine park,lower tempelstowe,2199,vic,19580921,7498288,62817
sophie,mason,26,untz1,may mills close,craigomre,2622,nsw,19700207,1317086,19797
tara,grossman,1,denovan circuit,greigs flat,eastern heights,2560,qld,19500910,2324149,45197
jonah,nguyen,8,dalley crescent,,kingaroy,2607,nsw,19591019,9550440,27842
samatnha,drechsler,52,mara place,tower b rockdale,rochedale south,5459,nsw,19330422,8882745,65403
henry,bloomfield,20,bendigo retirement village,mcdougal lstreet,rosebud,4563,wa,19321112,1646845,76126
aloysius,jolly,14,morehead street,gleneira,scarborough,4078,qld,19170308,2866938,18246
indiana,goonan,4,sparkes close,corinell aglen,carnegie,3135,nsw,19610313,9556041,35532
tyler,george,41,murrung crescent,elizabeth residential village,beaconsfield upper,5606,nsw,19870504,7345262,69803
jackson,eglinron,840,mountview,fowles treet,burlei gh heads,2803,sa,19830807,2932837,67843
jackaon,prestia,29,priddle sjtreet,mirilla,graceville,3012,qld,19260601,5613219,8310
connor,beckwith,10,heard street,,mill park,5031,nsw,19081103,2209091,64221
eboni,pantazooulos,20,allottj place,wyoming park,aldgate,2235,sa,19860807,9030076,88250
coby,berry,27,heagney crescent,,cremorne,3078,qld,19260518,1390881,13339
james,orchard,3,carnall close,kooyong,ballina,3095,qld,19970331,7947155,63124
bethany,glennon,17,davice place,,robinson,2502,nsw,19111117,9197460,89786
ethan,stubbs,9,prichard circuit,garden creek,sefton,4207,vic,19390912,7508887,72265
christopher,vilums,10,rene street,,crows nest,4754,sa,19851127,5181141,78008
rile,meadows,212,chuculbaic rescent,yarraminr park,lower templestowe,2199,vic,19580921,7498288,82563
harley,mccarthy,177,pridham street,milton,marsden,3167,nsw,19080419,6089216,39470
jake,grosser,3,lexcen avenue,horseshoe bend,bomaderry,2161,vic,19670227,6467209,5469
william,shepherd,,horsley crescent,annesley,clayton,2203,qld,19920927,8560358,70708
sophie,samios,101,pridham street,calandra,cronulla,2580,wa,19591009,3827802,1464
westbrook,jake,24,booroondara street,ascot park,salisbury east,2704,nsw,19001115,2330929,34721
ella,eyles,30,cinema centrd bldg,roothqlace,yeronag,3730,nsw,19550910,8011704,30665
joel,ejlak,61,brentwot d vlge,eppalock street,taigum,2644,nsw,19351102,1021508,83392
madisn,matthews,4,sugarloaf circuit,bonny doon,burpengary,2090,vic,19290710,1552042,11369
dillon,meaers,40,murphy street,the swamp,salisbury east,7305,sa,19851018,8097614,65655
brooklyn,naar-cafentas,210,duffy street,tourist psrk,berwick,2481,nsw,,3624304,9751
kathleen,povey,63,ashburner street,rsde 668,revesby,2902,nsw,19710923,9885750,99483
tanar,nguyen,8,jerrabomberraavenue,brentwood village,broome,4022,vic,19011002,5998380,63302
marley,hentze,94,tardent street,loma langie,seabton,2758,nsw,19510221,9837981,41628
victoria,soden,10,ainslie avenue,wildefell,karridale,3130,sa,19870610,2663036,46111
breeanne,dibben,6,collicott circuit,berkley lodge,loganholme,2317,nsw,19241203,6261894,71734
bianca,dixon,12,bingley crescent,baptist retirement,woodbridge,6021,wa,19921029,3197244,78675
jacob,,58,solomon crescent,curtin house,harbord,2602,nsw,19741113,5508111,37094
mason,campbell,12,waratah st reet,st francis vlge,bull creek,3401,nsw,19660827,4225051,19887
sophie,hobson,113,wilkins street,,padstow,3429,vic,19251103,4286830,97527
lard,slape,,lamingtnn street,rosehill,albany creek,6002,wa,19010927,2204911,36264
renee,white,22,warrego circuit,burnsid e,bayswater,3040,nt,19160822,2502613,35032
sachin,garcia,36,tanderra crescent,villa 2,geraldton,2705,sa,19320919,2886997,24547
mitchell,corbin,450,magenta square,rsl building,goornong,6051,qld,19120407,6571360,79955
aimee,fitzpatrick,7,rubbo crescent,kookaburra village,annandale,3150,nsw,19800311,8534023,40299
taylah,manson,10,withers place,broadwater caravn park,bunbury,2125,nsw,19220325,5517253,42451
toby,maczkowiack,8,kanooka street,carinya vlge,canley vale,3219,,19000328,7799632,5215
adele,bullock,9,shepherdson place,rosedale,camira,2170,vic,19071006,1839802,42763
ryan,emiily,9,barlow street,,condon,4030,nsw,19830414,7013840,76014
chloe,davdi,1,glenbrae,mcluckie crescent,murdoch,3143,sa,19320323,8644609,14730
kira,tereund,24,baradacrescent,,dulwich cill,2529,nsw,19250222,3054502,46558
zane,wilkins,,jervois street,cerbrus,coolaroo,6208,nsw,19471017,7918563,98408
carmne,brakhn,40,madigan street,,ekibwin,3196,nsw,19700723,7357958,75330
beau,mcdermid,24,london circuit,terawah station,clareville,3677,nsw,19630721,2005942,98811
shepherd,sea,7,beazleykcrescent,tintagel,broadford,4076,act,19561005,2726910,77851
rees,zachary,4,hicks street,ferndale,camira,3016,vic,19660116,8690395,94248
jesse,tenant,33,baldwin drive,anzac house (cnr archer s street,mansfield,2500,nsw,19760607,9948416,99286
lauren,frahn,5,solomon crescent,stoney creek,leichhardt,2570,vic,19180701,3134475,53385
sophie,,113,wilkins street,envi rona,papdstow,3429,vic,19251103,4286830,96673
,moody,7,mceachern crescent,bryntirion,cooma,2299,nsw,19731116,8269253,4634
david,knapman,66,blamey crescent,mira monte,mount pleasant,4103,wa,19631011,6091304,52886
callum,doody,11,emery s treet,texas station,orange,7021,sa,19760824,8675169,42602
cooper,boyle,10,degraves crescent,,adaminaby,2232,nsw,19901020,5310288,20196
annabelle,weetra,4,firbank close,,riverhills,2025,sa,19490420,4285598,40777
lukar,rees,364,solly place,wyoming park,strathbogie,2327,vic,19000103,3099843,67353
camerln,bishop,4,chillagoe street,edit heall,numeralla,6153,sa,19290325,8928429,67919
sophie,reid,37,hawkins close,greenhils,toowong,2268,wa,19210624,9022097,59631
teneille,lamprey,36,forrest place,terra nsotra,bayswater north,4160,vic,19281101,9687938,75103
,kidsoey,18,disney court,ramano esttae locn 1,labrador,2281,vic,19450301,2092869,51870
erni,humphreys,11,endeavour street,lake macqupride vlge,umina beach,4873,nsw,19670519,5094045,92653
emiily,redmond,10,woodhouse place,wahronga,firle,2483,vic,19381023,3563291,37290
tate,hingston,159,oxley street,,kurri kurri,5045,nsw,19680521,1954716,68678
nathan,daehn,204,sternberg crescent,home vsle,adamstown,2617,vic,19110417,4227775,65499
james,quinzi,6,fawkner street,streanshalh,yass,3142,tas,19860208,9289559,68023
pettigrove,georgia,5,sinclair street,pinda,prairie,2478,nsw,19231019,9695933,44081
breony,dixvon,39,downard street,,kellyville,4224,vic,19351022,7462490,72751
aiden,ryan,292,gundulu place,honey patch,mosman,3076,wa,19360524,3804933,7242
tynan,blacklow,15,annear place,nioka,rheola,4034,nsw,19690520,8046280,79993
jacob,white,24,hacke place,belgrade park,bayview heights,2229,vic,19590228,8872631,28413
samuel,walls,74,shoalhaven avenue,clear creek,raceview,3223,nsw,19370409,4859969,81979
riley,lodge,221,chuculba crescent,yarramine park,lower templestowe,2199,vic,19580921,7498288,18368
kirra,ryan,5,powers place,sawtell vet hosptl & clnc,barwon heads,4551,qld,19741118,8504134,77383
karli,mlilar,1,bonney street,st francix vlge,preston,4814,vic,19730813,3731194,25307
kiera,green,,jervoisstreet,,coolar oo,6208,nsw,19471017,7918563,41877
nicholas,shepherd,36,jerrabomberra avenue,sec 1,altona north,3123,nsw,19441101,3789481,46726
kyle,richmond,38,hammond close,oakdale,lindum,6110,sa,19420519,7435722,10522
benjamin,mugo,302,arlington,peat place,frankston,4518,nsw,19101008,5994946,65871
joshua,nguyen,11,howie court,border park,seven hills,6163,sa,19730730,8078358,981
danny,petersen,12,rawdon hill,cade place,minto,3029,wa,19441022,6090944,92211
nathsn,morrison,59,peppin place,,eaglehawk,6172,qld,19471203,5567390,44409
jayden,glass,250,warrego circuit,sec 202,frankston,6210,qld,19640219,6764035,93461
macy,klemm,20,bonython street,,aitkenvale,2485,vic,19970312,7990048,41515
caresse,lyden,13,nemarang crescent,,,3199,sa,19250803,3017029,59582
charlotte,glass,3,sculptor street,green fafrm mates,hahndorf,2581,qld,19510713,3792276,21049
brooke,nguyen,,truganini place,tallingap ark,chelsea heights,6062,vic,19240812,8781682,57208
max,campbell,18,axon ftreet,wandana,vermont,4128,vic,19640314,5229727,97799
courtney,brain,72,bailey place,bandera,goovigen,7330,vic,19480711,7816261,66866
lily,petersen,13,bissenberger crescent,,melville,2250,,19020326,3851424,82627
,matthew,1,gellibrand street,grandview,carnegie,4011,nsw,19710126,5651019,70434
anita,catherwood,5,nish fplace,talonmane,emerald,3073,nsw,19420708,7373271,11018
sian,beelitz,3,ashkanasy crescent,miowdra,sylvania,5042,nsw,19510904,3279804,41845
fraser,tadege,,mcinnes treet,,scarborough,2870,nsw,19001013,3817644,27915
millr,egan,162,fergusson crescent,john flynn meidcal centre,como,5280,nsw,19700305,5022596,11334
oliver,blake,8,outtrim avenue,hd allenby,st luia,2298,qld,19891203,4307988,82447
emma,lablack,15,henrys treet,,drysdale,2570,nt,19500212,1009364,43837
tynan,abera,16,hainesstreet,,ballarat,2303,nws,19370412,6873174,98365
demie,madigan,,fawkner ktreet,evergreen,buny ip,6076,sa,19940729,5071854,70251
chloe,mcphie,5,robertson street,langleigh,swanwick,4226,qld,19340310,5476545,70586
jessiva,rivera,14,quick street,jasmine lodge,kingstoxrpe,5056,vic,19620906,1054434,9015
hinks,brandon,,goossensg place,allanvale,rostrevor,4109,vic,19101121,7142384,38865
josha,campbell,12,ballumbirstreet,hornby lighthouse,harbord,3198,vic,19670227,6114246,86646
charlotte,mccracken,5,,flr 5 john flynn medical centre,woronary,4814,nsw,19570529,6092940,26882
jared,jolly,84,macarthur avenue,nareen gardens hostel,floreat,2290,nsw,19281125,7406558,3108
olivia,artis,12,marcus clarke street,lake road,mill park,3173,nsw,19190302,2211444,36572
thomas,shaft,10,wattle street,tureevale,orford,3579,qld,19390822,1282782,76331
kyle,bullock,7,carnegie crescent,berri cottage hmes,westmeadows,3400,qld,19861006,2675703,89421
domenique,paterson,15,lubumaplace,merewether public school,greensborough,3138,qld,19161017,4975843,72135
belinda,blackwelxl,89,willcock place,sec 5 97,nedlands,2145,sa,19610102,4046672,69402
amy,artis,24,jansz crescent,watchorns hill,brighton,4567,nsw,19391007,7212915,53555
john,banelcs,5,sexton ftreet,glenhurst,auburn,3140,vic,19981006,8328210,59064
samantha,rachwal,5,stubbs crescent,rosetta village,myrtleford,5070,vic,19220601,5437912,83665
sophe,reid,11,hoad place,lockwood,beachuere,4106,nsw,19030704,2982434,63024
aimee,fitzpatrick,,rubbo crescent,kookaburra village,annakdale,3105,nsw,19800311,8534023,63529
joel,ryan,45,wisdom street,warbinya,pymble,4605,wa,19220524,5522329,75019
sophie,quan,4,milari street,cascina,ripley,2060,vic,19600125,8214496,921
tyler,froud,8,burramurra avenue,kmart p plaza,san remo,3670,sa,19800916,7812219,77438
juliana,petersen,25,currong syreet,admiralty quays,glenside,4068,nsw,19610510,1726629,92200
holly,shepherd,3,stillwell place,elston,albion park rail,6210,vic,19800323,4620818,41728
ellie,hoffman,31,captain cook crescent,dorothy lodge,carrara,2281,nsw,19151114,4882507,99528
meaguan,watkins-yall,97,clancy street,,broken hill,4169,sa,19860817,5297907,81522
ashley,carbone,13,louis lodercstreet,john flynn medical centre,blacktown,2430,vic,19260703,4119196,55022
tyron,herbert,29,mackenzie street,scottish masonic village,shoalhaven heads,5069,vic,19131211,8358339,53827
matthew,webb,3,forbes street,kinnoul,rowville,5044,wa,19091203,3652823,71227
melinda,sehrin,103,conley kdrive,,macmasters beach,3226,vic,19511104,9615557,60069
mia,stephenson,37,nivison place,treeto ps,knoxfield,3137,sa,19631225,2780926,20146
jack,green,27,octy place,springbanks,ringwood north,3087,wa,19870222,5097391,59125
kasey,every,22,kinkead street,pineview farm,kurri kurri,2069,nsw,19400814,9893706,49987
benwedict,coleman,23,huntawyle,summervill e crescent,avondale heights,4560,wa,19380327,1480351,76268
finley,vincent,59,galway place,pieracle,,2420,vic,19900423,9566651,98288
mia,tamasauskas,11,rollston street,riverview terraces,northnridge,6147,nsw,19372109,5670356,25908
shantal,mckinnpll,1,mceachern crescent,blueberry,ruse,2324,qld,19620715,5127261,69434
bradley,bishop,13,newman morris circuit,shikoah,wickepin,2711,wa,19420604,2961043,20463
tansy,nekar,69,boddington crescent,eulong,campie,2650,nsw,19190804,5994069,90931
mocrom,zachariah,8,dixon d rive,bletchly park,toowoomba,2068,wa,19020803,1961455,45052
wilson,pinto,11,boustead circuit,jewellsmed ical centre,granville,3161,qld,19971229,8930019,55595
max,campbell,18,axon street,wandana,vermont,4128,vic,19640314,5229727,15522
lydia,mccaryhy,6,mckilloplcircuit,telemon orchards,mountpleasant,4670,nsw,19751220,1835068,28932
harriet,haeg,40,togo p lace,carav park,vale park,2300,nsw,19950203,1149839,18597
braicen,ewald,7,kambah exchange street,petriwil,yangebup,4074,vic,19631104,9333629,51646
timothy,masdn,18,barrierwstreet,sec 443 bellamour,parkholme,2029,wa,19061024,5623275,51873
heathoer,white,97,doonkuna street,millenium towers,vermont,3822,vic,19741923,6026159,70316
priest,lily,29,nemarang crescent,yellow dam,westmead,2205,tas,19401205,2293160,17060
luke,lowe,15,mofflin street,barwite,,2287,nsw,19400601,4960719,43689
christopher,vilums,14,renestreet,,crowsm nest,4754,sa,19851127,5181141,69811
ayden,white,7,wittenoom crescent,ocean park towers,garrsn,2506,vic,19390830,7585098,81249
luke,goldsworthy,50,wheeler crescent,glenburn,ingleburn,6042,nsw,19760711,7624230,82464
oliver,bendyk,42,tallar parkway,yarragin,queenscliff,2184,vic,19100310,5851063,67469
rosie,runlde,50,sturtalvenue,talonmane,bundaberg,2263,nt,19751109,9092692,62429
emiioy,berry,3,tenison-woods circuit,,ashfield,6169,nsw,19780527,6459366,61937
emma,pollidorou,90,messenger street,hinton brook,bacchus marsh,2868,nsw,19710829,4644221,68604
xani,green,2,phillip avenue,abbey green,armidale,5108,nsw,19390410,9201057,31807
kyle,bizjak,60,ferrier p lace,yarrimbah,boyanup,3074,nsw,19701103,5773280,11825
oliver,siviour,22,mcgowan street,omeo,brinkin,2642,qld,19730331,4617976,88096
sana,ryan,17,magenta square,never-never lodge,jamboree heights,2065,vic,19210605,3868578,55922
emmet,geor ge,,curtin shoping centre,palmlake resort,newington,4860,sa,19860806,4029448,43495
emiily,redmond,10,woodhouse place,wahonga,firle,3717,vic,19381023,3563291,78359
samuel,colemqan,60,backhouse street,barwala,quorn,3147,nsw,19541004,8477487,49854
tahni,reid,50,noarlunga crescent,bowan downs,batlow,2906,qld,19100130,6483683,92077
richmond,sarsha,135,pepper tree,kalgoorlie crescent,lilydale,3031,nsw,19590607,5444497,90364
charlotte,robson,3,dickinson street,,nareklan,4551,wa,19850330,3193520,1700
lochlan,malor,10,albermarle place,ponderosa,woori yallock,5355,qld,19780720,7679335,95458
noah,mason,5,,stjames,burwood,2142,sa,19100103,8983319,64041
trey,ballanfyne,425,wynter p lace,belmore river,laberouche,4124,vic,19960209,3163579,22617
webbo,jasper,16,balala place,tourist caravn park,osborne park,5032,vic,19401203,9777818,19985
nicole,carbone,46,schlich street,simpson arm ybarracks,toowong,3000,wa,19030926,8190756,16158
jacob,ryan,172,davidson wtreet,,brisbane,6167,nsw,19960531,9826543,18272
madeline,purtell,110,denns street,,frankuin,4570,qld,19811121,3603598,84330
isabelle,soave,64,bonnor close,bayford cottage,wallan,2144,vic,19080327,6209100,44082
abby,toseland,55,haines street,hilldale,mosman,8277,sa,19100830,4439847,8457
kailet,kooymans,35,la perouse street,masonic memorial village,redhill,2131,sa,19310813,4609850,79569
robin,morrisn,14,markham street,balmaincove,broadmeadops,6169,vic,19250124,1191533,64428
isabella,theodore,269,,nikoa,rena,2446,vic,19711102,2898842,43848
charlee,hugelamnn,8,martley circuit,eddington,mosman,4802,sa,19490921,6939061,91708
grace,mason,44,henty street,,port macquarie,2370,tas,19200330,6370721,24255
,clarke,97,merfieldplace,the meadows,bull creek,2830,act,,2257500,59180
katelyn,colegate,55,fiveash street,retirement village,londonderry,2195,nsw,19280828,4406201,76083
jameg,mccarthy,121,tillyarddrive,amherst village,,5268,qld,19350714,6283744,46853
matthew,webb,61,napier close,,noble park,2079,nsw,19850108,9087171,65233
tommy,spinato,29,howiec urt,pinnacles caravn park,mooloolaba,3356,nsw,19821129,4527826,84857
rosie,stanley,352,lowrie street,rowethorpe,albury,3194,nsw,19030424,5324210,65032
finlhy,white,15,goodwinstreet,meemar,salisbury heights,4228,qld,19700309,1233617,30686
taars,pegg,32,edmondson street,crowden,kiara,2528,qld,19090425,5385357,31766
caitlin,couzens,2,kurundi place,abbey fields,sandhill,3043,nsw,19321204,5062974,10461
sach,jasmwine,1,goble street,renown,gawler west,2301,nsw,19791109,2530372,71189
stephanie,dinh,607,mackay crescent,bowan downs,kilsyth,2196,nsw,19700811,5229088,46984
caitlin,cronshaw,88,sturdee crescent,,bundaberg,5290,vic,19741125,2415300,16448
joshua,kirimovs,19,slessor cbrescent,anglican guest village,christie downs,5041,vic,19320714,6007331,12800
olivia,shepherd,39,burnage place,rowethorpe,winston hills,3183,nsw,19320907,5731308,96114
ciaarn,nguyen,12,woollum dthreet,molinev illage,berwick,6157,qld,19860814,9056035,90475
chelsea,rees,69,shumack street,flt 40,tongala,4300,wa,19550204,3457135,97811
rourke,hoffman,49,ainslie avenue,rockleigh cottage,barooga,3018,vic,19391226,7810166,12765
jasmine,sah,1,goble street,renown,gawler west,2031,nsw,19791109,2530372,74915
william,panagaris,39,dryandra street,,teesdale,5554,vic,19240824,3853153,4623
darcie,priest,66,sid barnes crescent,kinglakec entral,dianeola,3011,vic,19570911,5032187,78581
meaagn,mcphie,3,groom stieet,wonba,box hill south,4350,qld,19391002,7916971,95889
samantha,green,46,malindi place,harbison vlge,dromana,3131,wa,19200328,9704392,91547
ethan,campbell,,reuther street,,moorook,4709,nsw,19331009,3430363,26577
adam,eveston,11,kirkladn circuit,warrawong,,2192,act,19940623,7493662,60100
tara,ngyen,8,dalley crescent,the palms village,kingaroy,2607,nsw,19591019,9550440,29589
melaniye,bouras,74,gorge cree k orchards,inwood place,hoppers crssing,2203,nsw,19971016,9221934,69182
lara,plovanic,14,marcus clarke street,pleasant acres,seven hills,4567,nsw,19020827,1438726,6564
mitchell,palachicky,10,adinda street,wiltona,st clair,3021,qld,19200502,1803053,65442
